_service_date,exChangeRateDate,exChangeRateValue,sourceCurrency,targetCurrency,FromCurrency,ToCurrency
2025-07-21,07/21/2025,0.00072,KRW,USD,KRW,USD
2025-07-21,07/21/2025,0.0027,KRW,SAR,KRW,SAR
2025-07-21,07/21/2025,0.00062,KRW,EUR,KRW,EUR
2025-07-21,07/21/2025,0.00054,KRW,GBP,KRW,GBP
2025-07-21,07/21/2025,0.00262,KRW,QAR,KRW,QAR
2025-07-21,07/21/2025,0.09826,NOK,USD,NOK,USD
2025-07-21,07/21/2025,0.36875,NOK,SAR,NOK,SAR
2025-07-21,07/21/2025,0.0845,NOK,EUR,NOK,EUR
2025-07-21,07/21/2025,0.07324,NOK,GBP,NOK,GBP
2025-07-21,07/21/2025,0.3576,NOK,QAR,NOK,QAR
2025-07-21,07/21/2025,0.02475,TRY,USD,TRY,USD
2025-07-21,07/21/2025,0.09287,TRY,SAR,TRY,SAR
2025-07-21,07/21/2025,0.02128,TRY,EUR,TRY,EUR
2025-07-21,07/21/2025,0.0909,TRY,AED,TRY,AED
2025-07-21,07/21/2025,0.01844,TRY,GBP,TRY,GBP
2025-07-21,07/21/2025,0.09006,TRY,QAR,TRY,QAR
2025-07-21,07/21/2025,0.43861,TRY,ZAR,TRY,ZAR
2025-07-21,07/21/2025,0.15577,DKK,USD,DKK,USD
2025-07-21,07/21/2025,0.58458,DKK,SAR,DKK,SAR
2025-07-21,07/21/2025,0.13396,DKK,EUR,DKK,EUR
2025-07-21,07/21/2025,0.57216,DKK,AED,DKK,AED
2025-07-21,07/21/2025,0.1161,DKK,GBP,DKK,GBP
2025-07-21,07/21/2025,0.56689,DKK,QAR,DKK,QAR
2025-07-21,07/21/2025,0.03086,THB,USD,THB,USD
2025-07-21,07/21/2025,0.11581,THB,SAR,THB,SAR
2025-07-21,07/21/2025,0.11335,THB,AED,THB,AED
2025-07-21,07/21/2025,0.11231,THB,QAR,THB,QAR
2025-07-21,07/21/2025,1.24701,THB,TRY,THB,TRY
2025-07-21,07/21/2025,0.00054,IQD,JOD,IQD,JOD
2025-07-21,07/21/2025,0.00076,IQD,USD,IQD,USD
2025-07-21,07/21/2025,0.00286,IQD,SAR,IQD,SAR
2025-07-21,07/21/2025,0.00066,IQD,EUR,IQD,EUR
2025-07-21,07/21/2025,0.0028,IQD,AED,IQD,AED
2025-07-21,07/21/2025,1.41039,JOD,USD,JOD,USD
2025-07-21,07/21/2025,5.29281,JOD,SAR,JOD,SAR
2025-07-21,07/21/2025,1.21292,JOD,EUR,JOD,EUR
2025-07-21,07/21/2025,209.33301,JOD,JPY,JOD,JPY
2025-07-21,07/21/2025,5.18039,JOD,AED,JOD,AED
2025-07-21,07/21/2025,1.05117,JOD,GBP,JOD,GBP
2025-07-21,07/21/2025,5.13269,JOD,QAR,JOD,QAR
2025-07-21,07/21/2025,1.12968,JOD,CHF,JOD,CHF
2025-07-21,07/21/2025,1849.23203,JOD,IQD,JOD,IQD
2025-07-21,07/21/2025,0.70902,USD,JOD,USD,JOD
2025-07-21,07/21/2025,3.75273,USD,SAR,USD,SAR
2025-07-21,07/21/2025,0.85999,USD,EUR,USD,EUR
2025-07-21,07/21/2025,3.67301,USD,AED,USD,AED
2025-07-21,07/21/2025,0.7453,USD,GBP,USD,GBP
2025-07-21,07/21/2025,86.14879,USD,INR,USD,INR
2025-07-21,07/21/2025,49.42533,USD,EGP,USD,EGP
2025-07-21,07/21/2025,3.63919,USD,QAR,USD,QAR
2025-07-21,07/21/2025,17.72375,USD,ZAR,USD,ZAR
2025-07-21,07/21/2025,40.40876,USD,TRY,USD,TRY
2025-07-21,07/21/2025,1311.14837,USD,IQD,USD,IQD
2025-07-21,07/21/2025,0.18894,SAR,JOD,SAR,JOD
2025-07-21,07/21/2025,0.26647,SAR,USD,SAR,USD
2025-07-21,07/21/2025,0.22916,SAR,EUR,SAR,EUR
2025-07-21,07/21/2025,39.55043,SAR,JPY,SAR,JPY
2025-07-21,07/21/2025,0.97876,SAR,AED,SAR,AED
2025-07-21,07/21/2025,0.40937,SAR,AUD,SAR,AUD
2025-07-21,07/21/2025,0.1986,SAR,GBP,SAR,GBP
2025-07-21,07/21/2025,22.95632,SAR,INR,SAR,INR
2025-07-21,07/21/2025,13.17051,SAR,EGP,SAR,EGP
2025-07-21,07/21/2025,0.36569,SAR,CAD,SAR,CAD
2025-07-21,07/21/2025,0.96975,SAR,QAR,SAR,QAR
2025-07-21,07/21/2025,0.21344,SAR,CHF,SAR,CHF
2025-07-21,07/21/2025,2.57481,SAR,SEK,SAR,SEK
2025-07-21,07/21/2025,0.10248,SAR,OMR,SAR,OMR
2025-07-21,07/21/2025,0.08145,SAR,KWD,SAR,KWD
2025-07-21,07/21/2025,4.7229,SAR,ZAR,SAR,ZAR
2025-07-21,07/21/2025,1.91273,SAR,CNY,SAR,CNY
2025-07-21,07/21/2025,10.76784,SAR,TRY,SAR,TRY
2025-07-21,07/21/2025,1.71064,SAR,DKK,SAR,DKK
2025-07-21,07/21/2025,8.63492,SAR,thb,SAR,THB
2025-07-21,07/21/2025,0.44681,SAR,NZD,SAR,NZD
2025-07-21,07/21/2025,349.38547,SAR,IQD,SAR,IQD
2025-07-21,07/21/2025,0.82446,EUR,JOD,EUR,JOD
2025-07-21,07/21/2025,1.16281,EUR,USD,EUR,USD
2025-07-21,07/21/2025,4.36371,EUR,SAR,EUR,SAR
2025-07-21,07/21/2025,4.27102,EUR,AED,EUR,AED
2025-07-21,07/21/2025,0.86665,EUR,GBP,EUR,GBP
2025-07-21,07/21/2025,100.17476,EUR,INR,EUR,INR
2025-07-21,07/21/2025,57.47232,EUR,EGP,EUR,EGP
2025-07-21,07/21/2025,4.23169,EUR,QAR,EUR,QAR
2025-07-21,07/21/2025,0.93138,EUR,CHF,EUR,CHF
2025-07-21,07/21/2025,20.60937,EUR,ZAR,EUR,ZAR
2025-07-21,07/21/2025,46.98774,EUR,TRY,EUR,TRY
2025-07-21,07/21/2025,1524.61772,EUR,IQD,EUR,IQD
2025-07-21,07/21/2025,0.00674,JPY,USD,JPY,USD
2025-07-21,07/21/2025,0.02528,JPY,SAR,JPY,SAR
2025-07-21,07/21/2025,0.00579,JPY,EUR,JPY,EUR
2025-07-21,07/21/2025,0.02475,JPY,AED,JPY,AED
2025-07-21,07/21/2025,0.00502,JPY,GBP,JPY,GBP
2025-07-21,07/21/2025,0.33301,JPY,EGP,JPY,EGP
2025-07-21,07/21/2025,0.02452,JPY,QAR,JPY,QAR
2025-07-21,07/21/2025,0.19304,AED,JOD,AED,JOD
2025-07-21,07/21/2025,0.27226,AED,USD,AED,USD
2025-07-21,07/21/2025,1.0217,AED,SAR,AED,SAR
2025-07-21,07/21/2025,0.23414,AED,EUR,AED,EUR
2025-07-21,07/21/2025,40.40877,AED,JPY,AED,JPY
2025-07-21,07/21/2025,0.41826,AED,AUD,AED,AUD
2025-07-21,07/21/2025,0.20291,AED,GBP,AED,GBP
2025-07-21,07/21/2025,23.45453,AED,INR,AED,INR
2025-07-21,07/21/2025,13.45634,AED,EGP,AED,EGP
2025-07-21,07/21/2025,0.37362,AED,CAD,AED,CAD
2025-07-21,07/21/2025,0.99079,AED,QAR,AED,QAR
2025-07-21,07/21/2025,0.21807,AED,CHF,AED,CHF
2025-07-21,07/21/2025,2.63069,AED,SEK,AED,SEK
2025-07-21,07/21/2025,0.10471,AED,OMR,AED,OMR
2025-07-21,07/21/2025,0.08321,AED,KWD,AED,KWD
2025-07-21,07/21/2025,4.8254,AED,ZAR,AED,ZAR
2025-07-21,07/21/2025,1.95424,AED,CNY,AED,CNY
2025-07-21,07/21/2025,11.00153,AED,TRY,AED,TRY
2025-07-21,07/21/2025,1.74776,AED,DKK,AED,DKK
2025-07-21,07/21/2025,8.82232,AED,thb,AED,THB
2025-07-21,07/21/2025,0.4565,AED,NZD,AED,NZD
2025-07-21,07/21/2025,356.96802,AED,IQD,AED,IQD
2025-07-21,07/21/2025,0.65093,AUD,USD,AUD,USD
2025-07-21,07/21/2025,2.44278,AUD,SAR,AUD,SAR
2025-07-21,07/21/2025,0.55979,AUD,EUR,AUD,EUR
2025-07-21,07/21/2025,2.39089,AUD,AED,AUD,AED
2025-07-21,07/21/2025,0.48514,AUD,GBP,AUD,GBP
2025-07-21,07/21/2025,2.36887,AUD,QAR,AUD,QAR
2025-07-21,07/21/2025,0.95132,GBP,JOD,GBP,JOD
2025-07-21,07/21/2025,1.34174,GBP,USD,GBP,USD
2025-07-21,07/21/2025,5.03517,GBP,SAR,GBP,SAR
2025-07-21,07/21/2025,1.15387,GBP,EUR,GBP,EUR
2025-07-21,07/21/2025,4.92822,GBP,AED,GBP,AED
2025-07-21,07/21/2025,115.58899,GBP,INR,GBP,INR
2025-07-21,07/21/2025,66.31577,GBP,EGP,GBP,EGP
2025-07-21,07/21/2025,4.88284,GBP,QAR,GBP,QAR
2025-07-21,07/21/2025,54.2179,GBP,TRY,GBP,TRY
2025-07-21,07/21/2025,0.01161,INR,USD,INR,USD
2025-07-21,07/21/2025,0.04356,INR,SAR,INR,SAR
2025-07-21,07/21/2025,0.00998,INR,EUR,INR,EUR
2025-07-21,07/21/2025,0.04264,INR,AED,INR,AED
2025-07-21,07/21/2025,0.00865,INR,GBP,INR,GBP
2025-07-21,07/21/2025,0.57372,INR,EGP,INR,EGP
2025-07-21,07/21/2025,0.04224,INR,QAR,INR,QAR
2025-07-21,07/21/2025,0.02023,EGP,USD,EGP,USD
2025-07-21,07/21/2025,0.07593,EGP,SAR,EGP,SAR
2025-07-21,07/21/2025,0.0174,EGP,EUR,EGP,EUR
2025-07-21,07/21/2025,0.07431,EGP,AED,EGP,AED
2025-07-21,07/21/2025,0.01508,EGP,GBP,EGP,GBP
2025-07-21,07/21/2025,0.07363,EGP,QAR,EGP,QAR
2025-07-21,07/21/2025,0.7287,CAD,USD,CAD,USD
2025-07-21,07/21/2025,2.7346,CAD,SAR,CAD,SAR
2025-07-21,07/21/2025,0.62667,CAD,EUR,CAD,EUR
2025-07-21,07/21/2025,2.67651,CAD,AED,CAD,AED
2025-07-21,07/21/2025,0.5431,CAD,GBP,CAD,GBP
2025-07-21,07/21/2025,2.65186,CAD,QAR,CAD,QAR
2025-07-21,07/21/2025,0.19483,QAR,JOD,QAR,JOD
2025-07-21,07/21/2025,1.0312,QAR,SAR,QAR,SAR
2025-07-21,07/21/2025,40.7843,QAR,JPY,QAR,JPY
2025-07-21,07/21/2025,1.00929,QAR,AED,QAR,AED
2025-07-21,07/21/2025,0.42214,QAR,AUD,QAR,AUD
2025-07-21,07/21/2025,0.2048,QAR,GBP,QAR,GBP
2025-07-21,07/21/2025,23.6725,QAR,INR,QAR,INR
2025-07-21,07/21/2025,13.5814,QAR,EGP,QAR,EGP
2025-07-21,07/21/2025,0.37709,QAR,CAD,QAR,CAD
2025-07-21,07/21/2025,0.2201,QAR,CHF,QAR,CHF
2025-07-21,07/21/2025,2.65514,QAR,SEK,QAR,SEK
2025-07-21,07/21/2025,0.10568,QAR,OMR,QAR,OMR
2025-07-21,07/21/2025,0.08399,QAR,KWD,QAR,KWD
2025-07-21,07/21/2025,4.87024,QAR,ZAR,QAR,ZAR
2025-07-21,07/21/2025,1.9724,QAR,CNY,QAR,CNY
2025-07-21,07/21/2025,11.10377,QAR,TRY,QAR,TRY
2025-07-21,07/21/2025,1.76401,QAR,DKK,QAR,DKK
2025-07-21,07/21/2025,8.90431,QAR,thb,QAR,THB
2025-07-21,07/21/2025,0.46075,QAR,NZD,QAR,NZD
2025-07-21,07/21/2025,1.24849,CHF,USD,CHF,USD
2025-07-21,07/21/2025,4.68523,CHF,SAR,CHF,SAR
2025-07-21,07/21/2025,1.07368,CHF,EUR,CHF,EUR
2025-07-21,07/21/2025,4.5857,CHF,AED,CHF,AED
2025-07-21,07/21/2025,0.9305,CHF,GBP,CHF,GBP
2025-07-21,07/21/2025,4.54348,CHF,QAR,CHF,QAR
2025-07-21,07/21/2025,0.38838,SEK,SAR,SEK,SAR
2025-07-21,07/21/2025,9.75771,OMR,SAR,OMR,SAR
2025-07-21,07/21/2025,9.55044,OMR,AED,OMR,AED
2025-07-21,07/21/2025,9.46251,OMR,QAR,OMR,QAR
2025-07-21,07/21/2025,12.27827,KWD,SAR,KWD,SAR
2025-07-21,07/21/2025,2.81372,KWD,EUR,KWD,EUR
2025-07-21,07/21/2025,12.01746,KWD,AED,KWD,AED
2025-07-21,07/21/2025,2.4385,KWD,GBP,KWD,GBP
2025-07-21,07/21/2025,11.90681,KWD,QAR,KWD,QAR
2025-07-21,07/21/2025,0.05642,ZAR,USD,ZAR,USD
2025-07-21,07/21/2025,0.21173,ZAR,SAR,ZAR,SAR
2025-07-21,07/21/2025,0.20724,ZAR,AED,ZAR,AED
2025-07-21,07/21/2025,2.78865,ZAR,EGP,ZAR,EGP
2025-07-21,07/21/2025,0.20533,ZAR,QAR,ZAR,QAR
2025-07-21,07/21/2025,0.13932,CNY,USD,CNY,USD
2025-07-21,07/21/2025,0.52281,CNY,SAR,CNY,SAR
2025-07-21,07/21/2025,0.11981,CNY,EUR,CNY,EUR
2025-07-21,07/21/2025,0.51171,CNY,AED,CNY,AED
2025-07-21,07/21/2025,0.10383,CNY,GBP,CNY,GBP
2025-07-21,07/21/2025,0.507,CNY,QAR,CNY,QAR
2025-07-21,07/21/2025,0.5964,NZD,USD,NZD,USD
2025-07-21,07/21/2025,2.23811,NZD,SAR,NZD,SAR
2025-07-21,07/21/2025,2.19057,NZD,AED,NZD,AED
2025-07-21,07/21/2025,2.1704,NZD,QAR,NZD,QAR
2025-07-21,07/21/2025,0.00072,KRW,USD,KRW,USD
2025-07-21,07/21/2025,0.0027,KRW,SAR,KRW,SAR
2025-07-21,07/21/2025,0.00062,KRW,EUR,KRW,EUR
2025-07-21,07/21/2025,0.00054,KRW,GBP,KRW,GBP
2025-07-21,07/21/2025,0.00262,KRW,QAR,KRW,QAR
2025-07-21,07/21/2025,0.09826,NOK,USD,NOK,USD
2025-07-21,07/21/2025,0.36875,NOK,SAR,NOK,SAR
2025-07-21,07/21/2025,0.0845,NOK,EUR,NOK,EUR
2025-07-21,07/21/2025,0.07324,NOK,GBP,NOK,GBP
2025-07-21,07/21/2025,0.3576,NOK,QAR,NOK,QAR
2025-07-21,07/21/2025,0.02475,TRY,USD,TRY,USD
2025-07-21,07/21/2025,0.09287,TRY,SAR,TRY,SAR
2025-07-21,07/21/2025,0.02128,TRY,EUR,TRY,EUR
2025-07-21,07/21/2025,0.0909,TRY,AED,TRY,AED
2025-07-21,07/21/2025,0.01844,TRY,GBP,TRY,GBP
2025-07-21,07/21/2025,0.09006,TRY,QAR,TRY,QAR
2025-07-21,07/21/2025,0.43861,TRY,ZAR,TRY,ZAR
2025-07-21,07/21/2025,0.15577,DKK,USD,DKK,USD
2025-07-21,07/21/2025,0.58458,DKK,SAR,DKK,SAR
2025-07-21,07/21/2025,0.13396,DKK,EUR,DKK,EUR
2025-07-21,07/21/2025,0.57216,DKK,AED,DKK,AED
2025-07-21,07/21/2025,0.1161,DKK,GBP,DKK,GBP
2025-07-21,07/21/2025,0.56689,DKK,QAR,DKK,QAR
2025-07-21,07/21/2025,0.03086,THB,USD,THB,USD
2025-07-21,07/21/2025,0.11581,THB,SAR,THB,SAR
2025-07-21,07/21/2025,0.11335,THB,AED,THB,AED
2025-07-21,07/21/2025,0.11231,THB,QAR,THB,QAR
2025-07-21,07/21/2025,1.24701,THB,TRY,THB,TRY
2025-07-21,07/21/2025,0.00054,IQD,JOD,IQD,JOD
2025-07-21,07/21/2025,0.00076,IQD,USD,IQD,USD
2025-07-21,07/21/2025,0.00286,IQD,SAR,IQD,SAR
2025-07-21,07/21/2025,0.00066,IQD,EUR,IQD,EUR
2025-07-21,07/21/2025,0.0028,IQD,AED,IQD,AED
